Smile,emoticon_smile
Horizontal traffic light,_4_so
Construction sign,_4_sp
Hot springs,_4_u0
Tent,_4_tg
Ferris wheel,_4_pb
Roller coaster,_4_pc
Microphone,_4_pd
Movie camera,_4_pe
Film strip,_4_pf
Headphone,_4_pg
Artist palette,_4_ph
Top hat,_4_pi
Ticket,_4_pj
Clapper board,_4_pk
Performing arts,_4_pl
Mahjong red dragon tile,_4_o0
Darts target bullseye,_4_pm
Billiards 8-ball,_4_pn
Musical note,_2cy
Multiple musical notes,_2cz
Saxophone,_4_po
Guitar,_4_pp
Trumpet,_4_pq
Part alternation mark,_4_tt
Camera,_4_rj
Television,_2fq
Radio,_4_rk
Videocassette,_4_rl
Kiss mark,_2ez
Love letter,_4_qq
Ring,_4_qr
Gem stone,_4_qs
Kiss,_2e-
Bouquet,_2e_
Couple with heart,_2f0
Wedding,_4_qt
No one under eighteen symbol,_4_ru
Antenna with bars,_4_ri
Vibration mode,_4_rg
Mobile phone off,_4_rh
Hamburger,_2ck
Rice ball,_4_oq
Shortcake,_4_p0
Steaming bowl,_4_ot
Bread,_4_ov
Cooking,_4_p3
Ice cream,_4_o-
French fries,_4_ow
Dango,_4_ox
Rice cracker,_4_op
Cooked rice,_4_or
Spaghetti,_4_ou
Curry and rice,_4_os
Oden,_4_oy
Sushi,_4_oz
Bento box,_4_p1
Pot of food,_4_p2
Shaved ice,_4_o_
Fork and knife,_4_p4
Hot beverage,_2ha
Cocktail glass,_2cl
Beer mug,_2cm
Teacup without handle,_4_p5
Sake bottle and cup,_4_p6
Clinking beer mugs,_4_p7
North east arrow,_4_tv
South east arrow,_4_tw
North west arrow,_4_tu
South west arrow,_4_tx
Right arrow curving up,_4_ub
Right arrow curving down,_4_uc
Up arrow,_4_tn
Down arrow,_4_to
Right arrow,_4_tk
Left arrow,_4_tm
Heavy large circle,_4_ts
Cross,_4_ti
Negative squared cross,_4_tj
Red exclamation point,_4_ua
Black exclamation point,_4_u7
White exclamation point,_4_u9
White question mark,_4_u8
Double curly loop,_4_tl
Big heart,_2hc
Beating heart,_2f1
Broken heart,_2f2
Sparkling heart,_2f3
Growing heart,_2f4
Heart with arrow,_2f5
Blue heart,_2f6
Green heart,_2f7
Yellow heart,_2f8
Purple heart,_2f9
Heart with ribbon,_2fa
Revolving hearts,_4_qu
Heart decoration,_4_qv
Heart card,_4_t-
Spade card,_4_ty
Diamond card,_4_t_
Club card,_4_tz
Smoking symbol,_4_sq
No smoking symbol,_4_sr
Wheelchair symbol,_4_t5
Warning sign,_4_t6
No entry,_4_tb
Bicycle,_4_ss
Mens symbol,_4_st
Womens symbol,_4_su
Baby symbol,_4_sw
Restroom,_4_sv
Bathtub,_4_sz
Toilet,_4_sx
Water closet,_4_sy
Squared cool,_4_o1
Squared up!,_4_o2
Squared vs,_4_o3
Squared katakana koko,_4_o4
Squared katakana sa,_4_o5
Squared ideograph,_4_o8
Squared ideograph,_4_o9
Squared ideograph,_4_oa
Squared ideograph,_4_o6
Squared ideograph,_4_ob
Squared ideograph,_4_oc
Squared ideograph,_4_od
Squared ideograph,_4_o7
Squared ideograph,_4_oe
Circled ideograph secret,_4_ue
Circled ideograph congratulations,_4_ud
Circled ideograph advantage,_4_of
Multiplication,_4_u4
Diamond with dot inside,_4_qw
Electric light bulb,_4_qx
Anger symbol,_2fb
Bomb,_4_qy
Sleeping symbol,_2fc
