emoticon_smile,fbicons.png,0 -869
emoticon_frown,fbicons.png,0 -631
emoticon_tongue,fbicons.png,0 -767
emoticon_grin,fbicons.png,-17 -648
emoticon_gasp,fbicons.png,-17 -631
emoticon_wink,fbicons.png,-17 -784
emoticon_glasses,fbicons.png,0 -648
emoticon_sunglasses,fbicons.png,-17 -750
emoticon_grumpy,fbicons.png,0 -665
emoticon_unsure,fbicons.png,-17 -767
emoticon_cry,fbicons.png,0 -1107
emoticon_devil,fbicons.png,0 -988
emoticon_angel,fbicons.png,0 -1073
emoticon_kiss,fbicons.png,-17 -682
emoticon_heart,fbicons.png,-17 -665
emoticon_kiki,fbicons.png,0 -682
emoticon_squint,fbicons.png,0 -750
emoticon_confused,fbicons.png,0 -1090
emoticon_confused_rev,fbicons.png,-17 -1090
emoticon_upset,fbicons.png,0 -784
emoticon_pacman,fbicons.png,0 -699
emoticon_robot,fbicons.png,-16 -2195
emoticon_colonthree,fbicons.png,-17 -1073
emoticon_penguin,fbicons.png,-17 -699
emoticon_putnam,fbicons.png,-17 -716
emoticon_shark,fbicons.png,0 -733
emoticon_like,fbicons.png,0 -125
emoticon_poop,fbicons.png,0 -716
_2b_,fbicons.png,0 -1396
_2c0,fbicons.png,-17 -1396
_2c1,fbicons.png,0 -1413
_2c2,fbicons.png,-17 -1413
_2c3,fbicons.png,0 -1430
_2c4,fbicons.png,-17 -1430
_2c5,fbicons.png,0 -1447
_2c6,fbicons.png,-17 -1447
_2c7,fbicons.png,0 -1464
_2c8,fbicons.png,-17 -1464
_2c9,fbicons.png,0 -1481
_2ca,fbicons.png,-17 -1481
_2cb,fbicons.png,0 -1498
_2cc,fbicons.png,-17 -1498
_2cd,fbicons.png,0 -1651
_2ce,fbicons.png,-17 -1515
_2cf,fbicons.png,0 -1532
_2cg,fbicons.png,-17 -1532
_2ch,fbicons.png,0 -1549
_2ci,fbicons.png,-17 -1549
_2cj,fbicons.png,0 -1566
_2ck,fbicons.png,-17 -1566
_2cl,fbicons.png,0 -1583
_2cm,fbicons.png,-17 -1583
_2cn,fbicons.png,0 -1600
_2co,fbicons.png,-17 -1600
_2cp,fbicons.png,0 -1617
_2cq,fbicons.png,-17 -1617
_2cr,fbicons.png,0 -1634
_2cs,fbicons.png,-17 -1634
_2ct,fbicons.png,0 -1515
_2cu,fbicons.png,0 -1124
_2cv,fbicons.png,-17 -1124
_2cw,fbicons.png,0 -1141
_2cx,fbicons.png,-17 -1141
_2cy,fbicons.png,0 -1158
_2cz,fbicons.png,-17 -1158
_2c-,fbicons.png,0 -1175
_2c_,fbicons.png,-17 -1175
_2d0,fbicons.png,0 -1192
_2d1,fbicons.png,-17 -1192
_2d2,fbicons.png,0 -1209
_2d3,fbicons.png,-17 -1209
_2d4,fbicons.png,0 -1226
_2d5,fbicons.png,-17 -1226
_2d6,fbicons.png,0 -1379
_2d7,fbicons.png,-17 -1243
_2d8,fbicons.png,0 -1260
_2d9,fbicons.png,-17 -1260
_2da,fbicons.png,0 -1277
_2db,fbicons.png,-17 -1277
_2dc,fbicons.png,0 -1294
_2dd,fbicons.png,-17 -1294
_2de,fbicons.png,0 -1311
_2df,fbicons.png,-17 -1311
_2dg,fbicons.png,0 -1328
_2dh,fbicons.png,0 -1685
_2di,fbicons.png,0 -1345
_2dj,fbicons.png,-17 -1345
_2dk,fbicons.png,0 -1362
_2dl,fbicons.png,-17 -1362
_2dm,fbicons.png,0 -1243
_2dn,fbicons.png,0 -1923
_2do,fbicons.png,-17 -1923
_2dp,fbicons.png,0 -1940
_2dq,fbicons.png,-17 -1940
_491,fbicons.png,0 -1957
